2026-05-15 23:24:28.577 [info] Starting Excalidraw MCP server...
2026-06-11 09:04:27.968 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.968 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.969 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.969 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.970 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.970 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.971 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.971 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.971 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.972 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.972 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.973 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.974 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.974 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.975 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.976 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.977 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.978 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.979 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.979 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.980 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.980 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.981 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.983 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.983 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.984 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.984 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.985 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.985 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.986 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.986 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.987 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.988 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.989 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.989 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.992 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.994 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.995 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.996 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.996 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:27.999 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.000 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.001 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.003 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.004 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.005 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.005 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.007 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.008 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.009 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.010 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.011 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.012 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.013 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.013 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.014 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.014 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.015 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.015 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.016 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.016 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.016 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.017 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.018 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.018 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.019 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.019 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.020 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.020 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.020 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.021 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.021 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.022 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.022 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.023 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.023 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.025 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.026 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.027 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.028 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.029 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.030 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.031 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.031 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.032 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.032 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.033 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.033 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.034 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.035 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.035 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.036 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.036 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.037 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.037 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.038 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.038 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.039 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-11 09:04:28.039 [error] Uncaught exception: EPIPE: broken pipe, write
